id	oldParent	newParent
6aaeb28c2d6a320f5fb522ee	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab058addf06776bfe0b809a	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb2932d6a320f5fb5231e	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab058f1df06776bfe0b80ef	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafa659f7690c13ea801431	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07d2ab04b288fb4b27939	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb2b12d6a320f5fb52377	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab05a96df06776bfe0b81da	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb36a2d6a320f5fb525c8	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb36c2d6a320f5fb525df	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06986116cf5b1fd65558e	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab058e2df06776bfe0b80cf	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3702d6a320f5fb52602	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3702d6a320f5fb52605	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab069cb116cf5b1fd6555f3	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb4112d6a320f5fb52a56	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06b92116cf5b1fd655951	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3732d6a320f5fb5261c	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06a3b116cf5b1fd6556a4	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3752d6a320f5fb5262c	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06ad9116cf5b1fd655805	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0698f116cf5b1fd65559b	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06b3c116cf5b1fd6558bf	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3762d6a320f5fb52639	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3792d6a320f5fb52655	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06bd0116cf5b1fd6559bb	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb37f2d6a320f5fb52690	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07760b04b288fb4b2703d	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb37f2d6a320f5fb52693	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3822d6a320f5fb526af	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07816b04b288fb4b271ca	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06ed2116cf5b1fd655c42	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07a3cb04b288fb4b27509	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06a6e116cf5b1fd65571f	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06e8a116cf5b1fd655bdf	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06b0c116cf5b1fd655867	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab074e4b04b288fb4b26af9	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06b3e116cf5b1fd6558c4	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06bd2116cf5b1fd6559c0	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06abc116cf5b1fd6557ca	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb38a2d6a320f5fb526f4	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06f03116cf5b1fd655c79	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07a16b04b288fb4b274a6	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
